timestamp,x,y,z
0,0.18,7.77,5.16
10,-0.08,7.88,5.31
20,-0.5,8.05,5.48
30,-0.92,8.23,5.64
40,-1.15,8.39,5.81
50,-1.7,8.64,5.94
60,-2.52,8.92,6.34
70,-3.29,9.25,6.84
80,-3.95,9.62,7.21
90,-4.58,10.05,7.73
100,-5.19,10.53,8.57
110,-5.79,11.02,9.37
120,-6.23,11.24,10.08
130,-5.95,11.21,10.14
140,-5.04,10.95,9.78
150,-3.44,10.43,9.24
160,-1.04,9.7,8.49
170,1.38,8.91,7.66
180,3.34,8.11,6.69
190,4.95,7.18,4.99
200,5.92,6.27,2.91
210,6.64,5.29,0.59
220,7.5,4.36,-1.77
230,8.73,3.55,-3.77
240,10.21,2.9,-5.03
250,12.32,2.24,-5.76
260,14.96,1.62,-6.12
270,17.54,1.13,-6.32
280,19.0,0.54,-6.75
290,19.54,-0.01,-7.01
300,19.1,-0.44,-6.33
310,17.51,-0.5,-4.49
320,15.48,-0.47,-2.0
330,13.5,-0.12,1.27
340,11.5,0.43,4.81
350,9.44,0.97,7.37
360,6.62,0.95,9.55
370,2.43,1.63,12.2
380,-2.42,2.66,13.97
390,-7.13,3.5,14.54
400,-12.11,4.71,14.19
410,-14.65,5.56,12.57
420,-13.24,5.88,10.59
430,-12.25,6.36,10.89
440,-13.26,7.24,12.0
450,-14.28,7.28,12.09
460,-15.94,6.83,11.65
470,-17.79,6.89,10.62
480,-19.36,6.92,9.5
490,-19.74,6.34,10.02
500,-18.29,6.13,9.98
510,-15.74,5.49,10.01
520,-12.52,4.87,9.51
530,-10.24,4.37,8.21
540,-8.29,3.83,7.43
550,-6.35,3.27,7.87
560,-5.84,3.54,8.7
570,-5.5,3.62,9.09
580,-3.58,3.08,9.27
590,-0.78,3.16,8.42
600,0.93,3.64,7.23
610,2.11,3.86,6.81
620,3.33,3.8,6.97
630,3.87,4.86,7.48
640,5.39,5.17,7.25
650,6.74,5.52,6.44
660,6.41,6.08,6.87
670,5.23,7.27,7.21
680,6.22,6.97,7.07
690,7.12,6.17,6.91
700,6.63,6.96,4.97
710,8.1,6.1,4.03
720,10.52,5.69,2.27
730,10.84,6.13,2.49
740,11.28,6.18,3.06
750,11.23,5.98,3.28
760,9.72,6.44,4.35
770,8.79,6.71,5.12
780,7.92,6.35,5.34
790,8.08,6.56,5.67
800,9.54,6.61,5.77
810,10.64,6.07,5.19
820,10.72,5.7,4.62
830,9.77,5.82,4.4
840,8.52,5.68,5.1
850,7.3,5.25,6.22
860,6.15,5.21,6.11
870,4.68,5.52,6.39
880,3.17,5.38,7.22
890,2.1,5.41,7.33
900,1.13,5.73,7.7
910,0.66,5.96,8.11
920,0.36,6.37,8.68
930,0.01,6.23,9.05
940,-0.81,6.22,8.47
950,-2.14,6.25,8.29
960,-4.02,6.35,8.7
970,-6.07,6.48,8.98
980,-7.54,6.71,8.54
990,-8.16,6.71,8.32
1000,-8.5,7.02,8.0
