timestamp,x,y,z
0,4.44,6.88,4.74
10,4.35,6.92,4.83
20,4.23,6.93,4.99
30,4.18,6.94,5.15
40,4.17,6.97,5.09
50,3.95,7.03,5.16
60,3.62,7.11,5.43
70,3.15,7.17,5.78
80,2.57,7.16,6.25
90,2.24,7.13,6.53
100,2.25,7.07,6.48
110,2.5,6.98,6.11
120,2.84,6.93,5.61
130,3.52,6.91,5.06
140,4.15,6.89,4.24
150,4.4,6.92,3.85
160,4.46,7.05,4.06
170,5.27,7.06,3.69
180,5.94,7.16,3.53
190,5.96,7.29,4.1
200,6.26,7.35,4.0
210,6.5,7.34,3.92
220,7.07,7.21,3.0
230,7.49,7.14,2.41
240,7.83,7.09,1.93
250,8.3,7.04,1.54
260,8.92,6.9,1.18
270,9.71,6.74,0.86
280,10.7,6.47,0.79
290,12.49,6.11,-0.08
300,14.75,5.86,-0.76
310,17.56,5.48,-2.54
320,19.73,4.89,-4.42
330,20.84,4.24,-5.66
340,21.14,3.51,-6.36
350,21.61,2.49,-5.96
360,21.86,1.26,-5.04
370,20.35,-0.33,-3.26
380,18.01,-2.17,-1.19
390,14.64,-3.99,1.77
400,10.18,-5.56,6.55
410,4.78,-6.73,10.22
420,-0.98,-7.57,11.4
430,-7.35,-8.0,12.22
440,-15.26,-6.79,14.0
450,-19.56,-5.6,14.13
460,-21.63,-4.62,13.18
470,-23.72,-3.7,13.2
480,-25.15,-2.77,13.78
490,-26.37,-2.34,13.13
500,-26.95,-2.22,12.35
510,-25.19,-2.58,10.46
520,-22.1,-2.49,8.83
530,-18.86,-2.19,9.3
540,-14.94,-1.84,9.69
550,-11.71,-1.39,10.52
560,-10.51,-0.92,11.34
570,-9.71,-0.82,12.24
580,-8.24,-0.84,12.69
590,-6.12,-1.38,12.36
600,-4.23,-1.19,11.74
610,-2.74,-1.84,10.1
620,-1.66,-1.97,8.04
630,-0.47,-1.8,7.96
640,1.6,-1.59,7.74
650,4.71,-1.15,8.09
660,8.39,-0.39,7.18
670,10.95,0.41,5.65
680,12.57,0.39,4.22
690,14.34,0.9,1.99
700,17.55,1.13,-0.21
710,22.09,2.01,-2.43
720,25.22,3.56,-3.28
730,26.18,5.15,-2.37
740,27.23,5.56,-1.36
750,27.14,5.61,-3.22
760,25.86,5.37,-4.18
770,23.87,4.59,-3.98
780,21.47,4.48,-3.81
790,19.5,4.18,-3.33
800,17.49,4.0,-3.01
810,16.21,3.85,-1.96
820,16.6,3.26,-1.61
830,17.01,2.81,-1.72
840,16.85,2.48,-1.17
850,15.23,2.32,0.29
860,12.67,2.61,3.73
870,10.16,2.43,7.91
880,6.93,2.1,10.47
890,2.99,1.93,12.62
900,-1.59,2.27,14.67
910,-5.52,2.46,16.09
920,-7.94,2.28,15.73
930,-9.87,2.92,14.37
940,-11.6,3.75,13.8
950,-12.01,3.87,12.47
960,-12.18,4.42,10.57
970,-10.87,3.69,9.35
980,-9.83,4.31,6.6
990,-8.72,3.42,5.05
1000,-8.18,4.08,7.05
