timestamp,x,y,z
0,6.08,7.11,3.41
10,5.98,7.22,3.79
20,6.0,7.35,3.96
30,5.81,7.49,4.1
40,5.65,7.75,4.6
50,5.28,7.97,5.15
60,4.97,8.11,5.54
70,4.81,8.29,6.02
80,4.85,8.58,6.26
90,4.94,8.88,6.5
100,4.78,9.4,7.49
110,4.34,9.84,8.91
120,3.81,10.01,10.02
130,3.72,9.95,10.4
140,4.02,9.68,9.97
150,4.7,9.25,8.91
160,5.08,8.76,7.65
170,5.27,8.31,6.39
180,5.52,7.77,5.19
190,5.65,7.27,4.25
200,6.15,6.75,2.45
210,6.91,6.14,0.6
220,7.87,5.59,-1.1
230,8.62,4.98,-2.58
240,9.31,4.43,-3.88
250,9.89,3.74,-5.04
260,10.45,2.95,-6.73
270,11.15,2.14,-9.33
280,11.96,1.3,-12.66
290,12.59,0.3,-15.14
300,12.4,-0.54,-16.68
310,12.47,-1.33,-17.41
320,12.27,-2.08,-16.99
330,11.93,-2.74,-15.88
340,11.85,-3.34,-14.41
350,12.21,-3.78,-13.07
360,12.91,-4.02,-11.73
370,13.68,-4.12,-9.98
380,14.05,-3.96,-6.76
390,14.38,-3.33,-3.01
400,14.46,-2.35,0.59
410,13.74,-1.29,4.2
420,11.91,-0.32,8.04
430,9.33,0.81,11.65
440,5.99,2.23,14.82
450,2.36,3.69,17.89
460,-0.65,5.15,20.03
470,-1.97,6.46,21.22
480,-2.58,7.46,21.47
490,-4.09,7.76,21.23
500,-5.86,8.0,20.94
510,-7.91,7.64,20.43
520,-9.74,7.81,20.65
530,-10.58,7.23,21.3
540,-10.85,6.9,21.66
550,-9.43,5.94,20.85
560,-7.56,5.25,17.42
570,-4.87,4.51,15.73
580,-2.04,3.71,14.42
590,0.13,3.47,12.81
600,2.09,2.63,12.49
610,3.98,1.84,9.75
620,5.04,1.5,6.5
630,7.15,1.1,4.77
640,9.22,1.57,4.36
650,12.04,1.64,2.81
660,13.88,2.26,0.45
670,13.89,2.89,-0.57
680,13.06,2.98,-1.46
690,11.52,3.45,-1.99
700,10.5,3.52,-1.06
710,10.7,3.54,-0.67
720,11.61,3.49,-1.32
730,13.15,3.35,-2.38
740,14.81,3.34,-3.74
750,16.19,3.26,-5.24
760,16.56,3.24,-7.23
770,16.64,3.19,-8.77
780,17.1,2.9,-8.52
790,16.69,2.8,-6.54
800,15.83,3.15,-4.49
810,15.36,3.12,-3.17
820,15.1,3.13,-2.97
830,14.64,3.06,-3.07
840,14.33,3.13,-3.02
850,13.82,3.2,-2.53
860,12.88,3.31,-1.44
870,11.77,3.63,0.44
880,11.04,4.04,2.16
890,9.71,4.65,5.14
900,7.85,5.22,7.73
910,6.39,5.68,8.94
920,4.91,6.31,9.86
930,3.4,6.9,11.23
940,2.05,7.41,12.38
950,2.46,7.12,11.31
960,1.87,7.77,11.38
970,1.12,7.25,11.81
980,1.2,7.39,9.04
990,1.47,7.63,10.0
1000,1.64,7.15,8.81
