timestamp,x,y,z
0,-2.8,5.82,6.04
10,-2.75,5.81,6.06
20,-2.78,5.81,6.08
30,-2.85,5.83,6.08
40,-2.9,5.83,6.05
50,-2.93,5.81,5.98
60,-2.92,5.78,5.94
70,-2.89,5.78,5.91
80,-2.85,5.76,5.91
90,-2.76,5.74,5.88
100,-2.73,5.72,5.88
110,-2.7,5.77,5.94
120,-2.66,5.77,5.96
130,-2.64,5.77,5.91
140,-2.6,5.78,5.88
150,-2.64,5.83,5.96
160,-2.68,5.88,6.0
170,-2.66,5.88,6.03
180,-2.68,5.88,6.07
190,-2.65,5.86,6.11
200,-2.64,5.86,6.1
210,-2.65,5.86,6.1
220,-2.68,5.84,6.1
230,-2.71,5.83,6.04
240,-2.72,5.81,6.03
250,-2.78,5.79,6.04
260,-2.78,5.77,5.99
270,-2.8,5.76,6.0
280,-2.77,5.74,5.96
290,-2.72,5.73,5.94
300,-2.68,5.73,5.91
310,-2.67,5.76,5.93
320,-2.66,5.76,5.87
330,-2.69,5.79,5.83
340,-2.78,5.84,5.83
350,-2.77,5.86,5.84
360,-2.74,5.88,5.86
370,-2.65,5.89,5.86
380,-2.6,5.89,5.92
390,-2.55,5.93,6.0
400,-2.57,5.99,6.06
410,-2.51,6.01,6.05
420,-2.44,6.03,6.08
430,-2.24,6.0,6.11
440,-2.07,6.0,6.13
450,-1.81,6.02,6.1
460,-1.53,5.99,6.08
470,-0.84,5.95,6.17
480,0.72,5.68,6.63
490,3.61,5.14,7.9
500,6.7,4.5,8.88
510,8.23,4.12,10.11
520,8.28,3.86,10.45
530,7.77,3.42,10.01
540,6.26,2.98,9.62
550,3.55,2.89,9.15
560,-0.01,3.11,8.52
570,-2.74,3.24,7.71
580,-4.78,3.21,6.96
590,-7.06,3.39,6.27
600,-9.17,3.58,5.49
610,-10.85,3.84,4.33
620,-12.4,3.59,3.23
630,-13.36,3.46,1.94
640,-15.0,3.69,0.79
650,-16.28,3.85,-0.16
660,-16.97,3.84,-0.77
670,-16.67,3.44,-0.8
680,-16.25,3.17,-0.82
690,-15.53,2.91,-0.49
700,-14.82,2.84,-0.43
710,-14.66,2.86,0.1
720,-13.77,2.59,0.42
730,-13.02,2.35,0.96
740,-11.79,1.85,1.31
750,-9.85,1.09,1.39
760,-8.25,0.71,2.47
770,-6.61,0.57,3.72
780,-4.74,0.66,5.04
790,-2.84,0.84,6.37
800,-1.24,1.13,8.24
810,1.19,1.46,9.86
820,3.87,1.96,11.51
830,5.92,2.47,12.73
840,7.29,3.13,13.22
850,7.69,3.79,13.29
860,7.48,4.46,13.17
870,7.43,4.59,13.06
880,6.76,5.32,11.71
890,6.71,5.15,11.84
900,6.34,5.32,11.46
910,6.02,5.21,11.82
920,5.9,5.51,10.85
930,5.36,5.03,10.76
940,4.78,5.08,10.01
950,4.74,4.71,10.55
960,5.09,4.53,10.33
970,4.82,4.24,10.2
980,4.66,3.93,9.87
990,3.83,3.81,9.88
1000,2.54,3.65,9.73
