timestamp,x,y,z
0,6.13,7.64,0.48
10,6.13,7.65,0.65
20,6.2,7.65,0.73
30,6.45,7.69,0.72
40,6.78,7.76,0.54
50,7.09,7.73,0.23
60,7.22,7.66,-0.12
70,7.34,7.54,-0.3
80,7.43,7.41,-0.32
90,7.39,7.2,-0.5
100,7.45,7.03,-0.84
110,7.7,6.98,-1.24
120,7.74,7.04,-1.17
130,7.72,7.19,-0.93
140,7.65,7.28,-0.74
150,7.35,7.33,-0.5
160,7.08,7.36,-0.23
170,6.98,7.37,-0.15
180,6.86,7.43,0.03
190,6.65,7.47,0.23
200,6.57,7.51,0.08
210,6.56,7.53,-0.17
220,6.52,7.56,-0.16
230,6.59,7.57,0.01
240,6.61,7.62,0.18
250,6.58,7.65,0.4
260,6.49,7.71,0.7
270,6.44,7.66,0.65
280,6.52,7.71,0.51
290,6.47,7.75,0.66
300,6.48,7.72,0.59
310,6.61,7.72,0.32
320,6.66,7.72,0.21
330,6.65,7.62,0.08
340,6.54,7.58,-0.09
350,6.42,7.53,-0.08
360,6.41,7.47,-0.08
370,6.41,7.42,-0.18
380,6.41,7.41,-0.21
390,6.45,7.42,-0.15
400,6.34,7.37,-0.15
410,6.39,7.33,-0.36
420,6.46,7.28,-0.4
430,6.55,7.13,-0.67
440,6.75,6.8,-1.35
450,6.98,6.29,-2.3
460,7.52,5.39,-3.85
470,8.41,4.31,-5.62
480,9.04,3.22,-7.35
490,9.63,2.06,-9.17
500,10.84,1.09,-11.19
510,12.23,0.33,-12.98
520,13.67,-0.15,-14.14
530,15.1,-0.5,-14.05
540,16.05,-0.21,-12.31
550,16.39,0.22,-8.98
560,16.07,0.92,-4.7
570,14.43,2.14,0.32
580,12.59,3.24,4.75
590,11.06,4.34,6.84
600,9.49,5.4,8.68
610,7.87,6.34,10.41
620,6.46,7.28,11.65
630,5.2,8.1,12.89
640,3.37,8.85,14.32
650,1.64,9.41,15.19
660,0.25,9.85,15.62
670,-0.93,9.98,15.62
680,-1.96,10.1,15.24
690,-2.85,10.22,15.1
700,-3.08,9.9,14.45
710,-3.16,9.37,12.91
720,-3.17,9.07,11.6
730,-2.7,8.42,11.2
740,-2.96,8.28,10.78
750,-2.45,7.55,9.7
760,-2.17,7.14,9.63
770,-0.83,6.74,8.73
780,0.98,6.09,6.99
790,1.56,5.75,5.94
800,1.81,5.77,6.13
810,3.11,5.56,6.23
820,4.44,5.39,5.05
830,4.71,5.36,5.42
840,5.6,5.48,6.19
850,6.61,5.53,6.34
860,7.13,5.45,5.39
870,8.02,5.39,4.5
880,9.33,5.3,3.12
890,10.02,5.03,1.53
900,10.04,5.13,0.64
910,9.99,5.05,0.49
920,10.39,4.86,-0.17
930,10.08,4.78,-0.78
940,10.28,4.47,-1.33
950,11.49,4.35,-2.89
960,12.29,4.14,-4.06
970,13.58,3.9,-5.72
980,14.04,3.78,-6.93
990,13.9,3.76,-7.58
1000,13.8,3.57,-8.09
