timestamp,x,y,z
0,1.43,8.43,6.85
10,1.23,8.66,7.1
20,1.04,8.88,7.26
30,0.85,9.17,7.5
40,0.59,9.49,7.86
50,0.37,9.75,8.19
60,0.13,9.96,8.3
70,0.03,10.09,8.34
80,0.13,10.1,8.37
90,0.31,10.05,8.39
100,0.43,9.96,8.35
110,0.87,9.75,8.21
120,0.91,9.55,7.97
130,1.02,9.28,7.59
140,1.48,8.9,7.18
150,1.78,8.54,6.83
160,2.14,8.17,6.56
170,2.46,7.79,5.85
180,2.84,7.26,5.19
190,3.46,6.7,4.37
200,4.4,6.11,3.45
210,5.12,5.65,3.18
220,5.72,5.14,2.43
230,6.19,4.7,1.38
240,6.58,4.24,0.29
250,6.36,4.24,-0.71
260,6.32,4.22,-0.82
270,6.62,4.13,-1.11
280,7.0,4.16,-1.07
290,7.31,4.23,-0.49
300,7.95,4.25,0.29
310,9.11,4.04,0.97
320,10.29,3.67,1.38
330,11.63,3.13,1.69
340,12.5,2.74,1.89
350,12.95,2.45,2.2
360,12.96,2.06,2.03
370,12.79,1.62,1.2
380,12.44,1.15,0.41
390,12.53,0.56,-0.4
400,12.47,0.12,-0.93
410,12.23,-0.09,-1.29
420,12.15,-0.36,-0.81
430,11.12,-0.03,0.62
440,9.28,1.02,3.44
450,7.93,1.96,5.18
460,6.74,3.0,7.33
470,4.99,4.11,8.93
480,3.37,5.0,9.09
490,1.19,6.11,9.58
500,-1.2,7.3,9.66
510,-2.9,8.15,9.48
520,-4.18,8.78,9.16
530,-5.2,9.18,8.23
540,-6.43,9.63,7.47
550,-7.52,10.11,7.3
560,-8.99,10.84,7.43
570,-10.21,11.44,7.6
580,-10.73,11.68,7.55
590,-10.6,11.5,7.04
600,-9.82,11.0,6.37
610,-9.11,10.63,6.21
620,-7.99,10.21,6.27
630,-6.44,9.6,5.83
640,-5.86,9.28,6.12
650,-5.31,9.18,6.55
660,-4.2,8.9,6.23
670,-2.83,8.21,5.81
680,-1.78,7.82,6.33
690,-0.34,7.65,6.91
700,0.99,7.32,6.8
710,1.68,7.22,7.19
720,2.28,7.21,7.63
730,3.42,6.88,7.16
740,4.89,6.18,5.54
750,5.09,5.72,4.99
760,5.7,5.5,4.32
770,6.41,5.18,3.88
780,6.07,5.17,4.24
790,6.07,5.07,4.0
800,7.19,4.7,3.25
810,8.46,4.08,2.72
820,9.75,3.56,2.37
830,10.93,3.27,2.57
840,11.54,3.15,3.28
850,12.24,3.04,3.39
860,12.79,2.71,3.29
870,13.59,2.16,2.34
880,13.67,2.01,2.14
890,13.45,2.07,2.25
900,12.94,2.09,2.35
910,11.98,2.31,2.72
920,10.84,2.68,3.42
930,9.98,2.99,3.92
940,9.74,3.11,4.01
950,9.04,3.42,4.31
960,8.08,4.04,5.38
970,7.0,4.67,6.46
980,5.53,5.51,7.48
990,3.47,6.53,8.96
1000,1.41,7.57,9.84
