timestamp,x,y,z
0,4.47,8.48,0.57
10,4.75,8.49,0.24
20,4.82,8.4,-0.25
30,4.92,8.36,-0.41
40,5.02,8.37,-0.5
50,5.05,8.35,-0.66
60,5.24,8.32,-0.78
70,5.32,8.25,-0.81
80,5.24,8.28,-0.7
90,5.19,8.32,-0.61
100,5.13,8.34,-0.66
110,5.15,8.39,-0.74
120,5.12,8.43,-0.76
130,5.06,8.46,-0.71
140,4.98,8.47,-0.74
150,4.76,8.48,-0.64
160,4.64,8.52,-0.56
170,4.53,8.55,-0.54
180,4.46,8.62,-0.56
190,4.45,8.71,-0.57
200,4.41,8.82,-0.57
210,4.37,8.92,-0.37
220,4.37,8.96,-0.22
230,4.36,9.06,0.03
240,4.31,9.11,0.3
250,4.45,9.05,-0.05
260,4.42,9.07,-0.07
270,4.46,9.06,-0.22
280,4.51,9.05,-0.33
290,4.58,9.03,-0.54
300,4.64,8.99,-0.72
310,4.67,8.93,-0.77
320,4.65,8.87,-0.85
330,4.66,8.8,-0.82
340,4.57,8.75,-0.62
350,4.46,8.69,-0.52
360,4.54,8.68,-0.64
370,4.56,8.57,-0.99
380,4.56,8.45,-1.3
390,4.54,8.27,-1.59
400,4.48,8.1,-1.78
410,4.49,7.86,-1.99
420,4.91,7.58,-2.57
430,5.62,7.28,-3.45
440,6.78,6.84,-4.78
450,8.33,6.2,-6.34
460,9.71,5.5,-7.65
470,11.2,4.77,-9.16
480,12.75,3.95,-10.84
490,13.8,3.49,-11.92
500,14.72,2.9,-12.41
510,14.92,2.52,-11.29
520,14.76,2.46,-8.43
530,13.72,2.95,-4.33
540,12.42,3.48,0.19
550,10.5,4.05,4.06
560,8.0,4.69,7.02
570,5.54,5.41,9.07
580,3.27,6.26,10.49
590,0.97,6.97,11.59
600,-1.3,7.53,12.42
610,-3.63,8.0,13.09
620,-6.7,8.22,14.39
630,-10.31,8.38,15.68
640,-12.78,8.66,16.2
650,-14.12,8.64,16.3
660,-14.19,8.41,15.23
670,-13.57,8.19,13.68
680,-12.42,7.83,11.92
690,-11.53,7.78,11.84
700,-10.17,7.55,11.35
710,-8.63,6.91,9.92
720,-7.22,6.69,9.11
730,-5.63,6.99,9.11
740,-3.04,6.44,8.04
750,-0.77,5.77,6.88
760,1.14,6.37,7.02
770,4.02,6.59,5.72
780,7.04,5.95,2.27
790,7.33,6.13,0.63
800,6.83,7.02,1.06
810,7.58,7.07,0.2
820,8.74,6.81,-1.27
830,8.9,7.22,-1.05
840,9.58,7.66,-0.95
850,10.57,7.56,-1.15
860,11.04,7.61,-1.27
870,11.51,7.47,-1.06
880,12.19,7.23,-2.44
890,13.38,6.9,-3.91
900,13.55,6.52,-4.69
910,13.43,6.26,-5.97
920,13.06,5.92,-6.66
930,12.55,5.88,-6.44
940,12.12,5.56,-6.47
950,11.7,5.43,-6.35
960,11.6,5.45,-5.96
970,11.63,5.43,-5.47
980,11.33,5.44,-4.91
990,10.62,5.33,-4.16
1000,9.93,5.24,-3.31
