timestamp,x,y,z
0,1.36,8.88,3.24
10,1.29,8.94,3.33
20,1.28,9.0,3.41
30,1.35,9.0,3.55
40,1.47,9.0,3.61
50,1.49,8.99,3.6
60,1.52,9.0,3.45
70,1.59,8.97,3.25
80,1.7,8.94,3.19
90,1.92,8.88,3.05
100,2.16,8.82,2.78
110,2.36,8.71,2.58
120,2.54,8.64,2.55
130,2.74,8.58,2.33
140,2.96,8.55,2.12
150,3.36,8.4,1.86
160,3.78,8.3,2.02
170,4.23,8.17,1.79
180,4.86,8.04,1.39
190,5.7,7.94,1.16
200,6.56,7.81,0.86
210,7.36,7.71,0.42
220,7.97,7.46,0.2
230,8.64,7.16,-0.11
240,9.65,6.72,-0.31
250,10.55,6.33,-0.57
260,11.17,5.87,-1.08
270,11.83,5.38,-1.56
280,12.24,4.91,-1.76
290,12.28,4.35,-1.37
300,11.65,3.82,0.09
310,10.1,3.48,2.32
320,8.05,3.54,4.55
330,5.55,3.85,6.73
340,2.77,4.55,8.52
350,0.71,4.98,9.25
360,-1.36,5.64,9.98
370,-3.76,6.21,10.7
380,-6.62,6.45,10.86
390,-9.55,6.68,10.69
400,-11.82,6.92,10.33
410,-12.78,7.17,9.27
420,-12.79,7.48,8.42
430,-13.06,7.46,8.26
440,-14.16,7.86,7.98
450,-14.87,7.72,7.87
460,-15.13,7.69,7.64
470,-15.03,7.74,7.84
480,-14.07,7.57,7.76
490,-12.66,7.34,7.7
500,-10.78,7.05,7.38
510,-9.27,6.94,7.36
520,-7.94,7.19,7.5
530,-5.43,6.24,7.88
540,-4.05,6.52,7.36
550,-3.4,6.51,7.27
560,-0.41,5.89,7.06
570,1.65,5.92,6.49
580,0.58,6.78,5.6
590,1.3,6.58,5.87
600,2.21,5.94,6.23
610,1.52,6.97,5.75
620,2.1,6.99,6.03
630,3.63,6.33,6.44
640,4.1,7.07,5.8
650,4.61,7.22,4.82
660,5.54,6.92,4.25
670,6.79,6.92,3.61
680,6.99,6.75,3.37
690,7.31,6.59,2.88
700,7.87,6.09,2.6
710,7.47,6.22,1.53
720,7.65,6.02,0.63
730,8.02,5.74,1.07
740,7.77,6.11,1.17
750,8.5,6.04,0.88
760,9.38,5.79,0.74
770,9.8,5.55,-0.06
780,9.88,5.41,-0.25
790,9.76,5.51,1.54
800,9.53,5.61,3.13
810,8.94,5.82,3.95
820,8.73,6.04,4.4
830,8.81,6.15,4.85
840,8.05,6.3,5.66
850,6.66,6.67,6.62
860,4.85,6.86,7.75
870,3.21,6.84,8.39
880,2.06,6.94,8.76
890,1.1,7.12,8.61
900,-0.7,7.69,9.26
910,-2.82,8.16,10.21
920,-4.91,8.32,10.58
930,-6.4,8.32,10.23
940,-7.19,8.23,9.51
950,-7.23,8.04,8.75
960,-6.78,8.06,8.39
970,-5.46,8.06,8.26
980,-3.61,7.92,8.13
990,-2.44,7.78,7.91
1000,-1.92,7.53,7.8
