timestamp,x,y,z
0,4.19,7.89,3.29
10,4.15,7.92,3.33
20,4.18,7.99,3.38
30,4.51,7.92,3.34
40,4.96,7.77,3.23
50,5.39,7.63,3.21
60,5.7,7.53,3.27
70,5.74,7.42,3.2
80,5.53,7.37,2.83
90,5.33,7.29,2.51
100,5.17,7.25,2.17
110,5.12,7.18,1.76
120,5.21,7.06,1.42
130,5.39,6.93,1.22
140,5.5,6.86,1.12
150,5.77,6.77,1.07
160,5.92,6.73,1.17
170,6.17,6.67,1.3
180,6.42,6.66,1.51
190,6.59,6.67,1.9
200,6.83,6.6,2.23
210,7.18,6.33,2.4
220,7.67,5.81,2.15
230,8.17,5.17,1.68
240,8.82,4.39,1.2
250,9.91,3.41,0.77
260,11.34,2.38,0.42
270,12.55,1.45,0.4
280,13.22,0.73,0.69
290,12.99,0.44,1.93
300,11.47,0.81,3.42
310,9.28,1.68,5.44
320,6.95,2.6,7.06
330,4.77,3.66,8.29
340,2.6,4.92,9.94
350,0.17,6.14,10.84
360,-2.63,7.47,10.89
370,-6.39,9.18,11.2
380,-9.59,10.65,11.08
390,-11.43,11.69,10.44
400,-12.57,12.32,9.69
410,-12.63,12.58,8.75
420,-13.52,13.17,8.82
430,-14.25,13.41,9.05
440,-14.82,13.57,8.81
450,-14.67,13.2,8.49
460,-13.73,12.45,7.3
470,-11.44,10.93,6.2
480,-9.32,9.63,5.44
490,-8.07,8.89,4.99
500,-7.15,8.35,5.78
510,-4.8,7.71,5.33
520,-3.04,6.9,5.58
530,-2.41,6.69,7.33
540,-0.54,6.69,7.92
550,1.19,6.23,6.76
560,1.23,6.0,7.02
570,1.97,6.04,7.18
580,3.29,5.66,6.76
590,4.17,5.5,6.24
600,5.26,4.96,5.75
610,7.07,4.22,4.78
620,8.15,4.13,4.56
630,8.98,3.71,4.3
640,10.12,3.17,3.05
650,10.89,3.01,2.32
660,11.55,2.64,1.43
670,11.59,2.65,0.46
680,11.38,2.88,0.3
690,11.2,3.09,1.26
700,11.85,3.28,1.78
710,12.74,3.17,2.1
720,13.88,2.39,1.36
730,14.04,2.13,1.01
740,14.18,2.0,1.17
750,13.72,1.83,1.66
760,12.8,1.93,1.52
770,11.22,2.49,2.51
780,10.01,3.11,3.59
790,8.6,3.78,4.62
800,6.95,4.51,5.62
810,5.9,4.95,5.83
820,5.11,5.31,6.08
830,4.37,5.9,7.03
840,3.52,6.62,8.13
850,2.02,7.67,9.61
860,0.25,8.59,10.7
870,-0.86,9.09,10.73
880,-1.08,9.01,9.63
890,-0.67,8.61,8.49
900,-0.55,8.57,8.63
910,0.51,8.35,8.37
920,0.51,8.48,8.94
930,-0.3,8.91,10.13
940,-0.61,9.18,9.88
950,-0.41,8.92,9.61
960,-0.11,8.86,8.5
970,-0.5,7.92,8.18
980,1.1,7.2,6.87
990,1.67,6.97,6.4
1000,0.71,6.93,7.31
