timestamp,x,y,z
0,5.75,7.96,0.87
10,5.64,8.0,1.05
20,5.69,8.01,1.07
30,5.85,7.98,0.91
40,5.92,7.97,0.79
50,5.94,7.94,0.77
60,5.94,7.94,0.8
70,5.94,7.93,0.83
80,5.85,7.92,0.91
90,5.74,7.92,0.86
100,5.75,7.94,0.79
110,5.71,7.93,0.73
120,5.72,7.95,0.73
130,5.66,7.96,0.8
140,5.66,7.95,0.76
150,5.65,7.97,0.82
160,5.69,7.98,0.62
170,5.78,7.99,0.56
180,5.84,8.03,0.71
190,5.88,8.05,0.84
200,5.98,8.08,0.9
210,6.02,8.06,0.97
220,6.02,8.03,0.85
230,6.04,8.0,0.76
240,6.01,7.99,0.76
250,5.97,7.96,0.82
260,5.93,7.96,0.83
270,5.88,7.98,0.82
280,5.88,7.98,0.84
290,5.89,7.95,0.72
300,5.95,7.93,0.69
310,5.89,7.92,0.78
320,5.84,7.89,0.8
330,5.95,7.86,0.67
340,6.0,7.77,0.5
350,6.03,7.67,0.29
360,6.05,7.55,0.14
370,6.14,7.38,0.1
380,6.32,7.06,0.0
390,6.79,6.49,-0.62
400,7.58,5.8,-1.72
410,8.76,5.09,-3.22
420,10.09,4.33,-4.42
430,11.23,3.64,-4.98
440,12.02,3.27,-5.1
450,12.85,3.05,-5.07
460,13.4,2.98,-4.5
470,13.95,3.26,-4.17
480,14.04,3.76,-3.37
490,13.54,4.17,-1.81
500,12.44,5.16,0.44
510,10.8,5.41,3.13
520,9.07,6.15,4.88
530,7.34,6.41,6.52
540,4.74,7.37,7.63
550,3.74,7.32,7.93
560,3.13,7.96,7.42
570,1.79,7.94,6.69
580,1.35,8.52,5.66
590,0.99,8.45,5.98
600,-0.52,8.98,7.22
610,-1.71,9.27,7.62
620,-2.34,9.21,7.36
630,-2.42,9.41,6.97
640,-2.63,9.34,6.5
650,-3.19,9.46,6.74
660,-3.32,9.7,7.03
670,-3.32,9.54,6.56
680,-3.72,9.49,6.49
690,-3.89,9.41,6.7
700,-3.47,9.16,6.46
710,-3.11,9.0,6.51
720,-2.83,8.84,6.78
730,-1.94,8.49,6.35
740,-0.88,8.44,6.0
750,0.34,8.36,5.98
760,2.0,8.17,5.29
770,2.52,8.68,5.13
780,1.94,8.25,6.7
790,3.25,8.45,5.56
800,3.54,8.05,6.34
810,4.08,8.13,4.53
820,5.44,7.75,4.16
830,5.78,7.68,5.37
840,5.91,7.53,4.67
850,6.01,6.89,3.51
860,5.83,6.34,2.41
870,5.68,5.87,1.18
880,5.17,5.51,0.76
890,4.69,4.86,0.3
900,5.19,4.4,-0.36
910,6.59,4.55,-0.27
920,7.74,4.36,-0.39
930,8.97,3.86,-1.41
940,10.73,3.94,-2.45
950,13.15,3.8,-2.48
960,14.83,3.91,-2.47
970,16.43,3.75,-3.27
980,16.89,3.93,-3.26
990,15.97,3.94,-1.98
1000,14.37,3.75,-1.26
