timestamp,x,y,z
0,5.55,7.86,-0.91
10,5.41,7.94,-0.77
20,5.35,8.04,-0.74
30,5.32,8.09,-0.76
40,5.43,8.12,-0.9
50,5.51,8.15,-0.91
60,5.55,8.15,-0.97
70,5.54,8.14,-0.93
80,5.53,8.11,-1.03
90,5.53,8.13,-1.19
100,5.58,8.15,-1.13
110,5.62,8.14,-1.15
120,5.54,8.17,-1.13
130,5.47,8.23,-1.04
140,5.5,8.2,-1.04
150,5.43,8.26,-0.99
160,5.47,8.28,-1.01
170,5.43,8.3,-0.95
180,5.43,8.34,-0.89
190,5.48,8.38,-0.94
200,5.45,8.41,-0.86
210,5.43,8.43,-0.83
220,5.46,8.49,-0.69
230,5.49,8.59,-0.51
240,5.58,8.6,-0.56
250,5.51,8.61,-0.53
260,5.43,8.56,-0.67
270,5.35,8.52,-0.8
280,5.32,8.42,-0.99
290,5.31,8.41,-1.06
300,5.3,8.38,-1.05
310,5.36,8.37,-1.08
320,5.4,8.33,-1.15
330,5.51,8.24,-1.26
340,5.59,8.19,-1.39
350,5.59,8.15,-1.5
360,5.56,8.06,-1.59
370,5.52,7.97,-1.73
380,5.67,7.88,-1.85
390,5.76,7.73,-1.96
400,5.94,7.5,-2.18
410,6.11,7.12,-2.6
420,6.68,6.52,-3.51
430,7.92,5.7,-5.34
440,9.38,4.75,-7.89
450,10.78,4.07,-9.88
460,12.26,3.28,-12.6
470,13.55,2.51,-13.83
480,14.03,2.05,-13.8
490,14.43,1.4,-13.48
500,14.26,1.07,-12.13
510,13.97,1.26,-9.42
520,13.54,1.91,-5.37
530,12.68,2.7,-0.45
540,11.22,3.57,4.8
550,8.81,4.9,9.28
560,6.42,6.17,12.33
570,3.78,7.4,14.66
580,1.36,8.61,16.29
590,-1.2,9.65,17.35
600,-3.56,10.46,17.63
610,-6.0,10.89,17.98
620,-8.32,11.25,18.28
630,-9.42,11.59,18.0
640,-9.18,10.99,16.66
650,-9.25,10.61,15.82
660,-8.73,10.08,14.82
670,-7.74,9.29,13.11
680,-6.52,8.58,12.55
690,-5.5,7.79,11.48
700,-4.19,7.27,8.98
710,-3.01,6.72,8.05
720,-0.73,5.87,6.43
730,1.78,5.68,5.12
740,2.84,5.64,4.22
750,4.6,5.39,2.64
760,6.24,5.11,3.16
770,8.01,4.92,0.73
780,9.22,4.48,-1.62
790,9.6,4.02,-2.52
800,9.91,3.86,-4.52
810,9.08,4.01,-4.25
820,8.69,3.79,-3.44
830,7.97,4.08,-2.89
840,8.93,4.23,-3.31
850,9.44,4.45,-3.5
860,11.51,4.85,-4.22
870,14.42,4.93,-6.27
880,17.46,4.96,-8.45
890,18.7,4.96,-10.47
900,19.06,5.04,-10.54
910,18.2,4.79,-10.1
920,16.09,4.86,-10.26
930,14.28,5.02,-8.97
940,12.91,5.16,-7.19
950,11.44,5.34,-5.71
960,10.12,5.4,-4.35
970,8.85,5.35,-3.59
980,7.97,5.65,-2.85
990,7.58,6.18,-1.51
1000,7.25,6.59,-0.15
