timestamp,x,y,z
0,2.33,9.49,0.34
10,2.23,9.53,0.48
20,2.47,9.47,0.49
30,2.76,9.4,0.46
40,3.0,9.36,0.4
50,3.23,9.42,0.41
60,3.66,9.41,0.58
70,3.84,9.47,0.81
80,4.12,9.49,0.79
90,4.43,9.43,0.78
100,4.34,9.41,0.8
110,3.9,9.36,0.88
120,3.51,9.27,0.72
130,3.55,8.99,0.23
140,3.38,8.69,-0.26
150,3.2,8.4,-0.7
160,2.94,8.05,-0.98
170,2.74,7.57,-1.29
180,2.46,6.96,-1.62
190,2.21,6.11,-2.18
200,1.91,5.08,-3.01
210,1.5,3.86,-4.18
220,0.74,2.51,-5.62
230,0.08,1.13,-7.22
240,-0.54,-0.21,-8.49
250,-0.73,-1.5,-9.61
260,-0.34,-2.66,-9.96
270,-0.24,-3.26,-8.85
280,0.51,-3.79,-7.52
290,1.89,-4.12,-6.62
300,2.94,-3.34,-4.58
310,2.96,-1.77,-1.2
320,2.5,0.22,2.46
330,0.63,2.92,6.93
340,-1.31,5.68,11.09
350,-1.95,8.27,14.46
360,-1.35,10.85,17.46
370,0.59,13.62,20.52
380,1.31,16.69,23.97
390,1.51,19.27,25.85
400,2.81,20.53,24.9
410,3.53,21.05,23.26
420,3.34,21.34,22.2
430,3.38,20.97,21.37
440,3.98,20.07,20.08
450,4.7,18.66,17.82
460,5.28,16.41,15.05
470,3.9,14.82,12.22
480,1.93,13.59,9.76
490,0.51,12.23,8.33
500,-0.78,12.15,7.34
510,-1.08,12.09,7.45
520,0.37,10.8,7.57
530,1.07,11.02,7.41
540,0.75,10.21,7.16
550,1.18,8.4,6.25
560,0.4,7.38,4.82
570,-0.45,5.82,3.74
580,-0.67,4.71,1.63
590,-1.52,3.93,0.11
600,-2.5,4.29,-0.42
610,-2.67,3.67,0.13
620,-1.88,3.1,-1.59
630,-1.12,2.43,-2.26
640,-1.23,2.87,-2.84
650,-1.14,2.92,-2.76
660,-1.13,3.23,-3.06
670,-1.39,4.28,-2.97
680,-1.16,4.48,-2.32
690,-0.35,4.86,-2.61
700,0.04,5.76,-2.27
710,0.29,6.43,-0.86
720,0.8,7.09,-0.65
730,1.2,7.57,-0.27
740,1.63,8.07,-0.13
750,1.72,8.18,0.01
760,1.77,8.71,0.09
770,1.54,9.08,0.59
780,1.64,9.16,0.6
790,1.92,9.27,0.7
800,1.99,9.26,0.88
810,1.86,9.2,0.64
820,1.5,9.34,0.5
830,1.42,9.56,0.89
840,1.4,9.66,1.15
850,1.88,9.45,0.81
860,1.88,9.56,0.69
870,1.66,9.57,0.9
880,1.8,9.28,0.42
890,1.99,8.87,-0.16
900,0.68,9.79,-0.45
910,0.71,9.67,0.71
920,1.31,9.34,0.49
930,1.59,9.21,1.06
940,1.82,9.75,0.6
950,1.82,9.55,0.47
960,2.29,9.32,0.14
970,1.55,9.32,0.77
980,1.45,9.78,0.91
990,1.96,9.33,0.71
1000,1.8,9.39,0.59
