timestamp,x,y,z
0,0.98,9.2,2.15
10,0.85,9.21,2.05
20,0.81,9.22,2.09
30,0.96,9.26,2.06
40,0.95,9.24,1.85
50,0.88,9.24,1.92
60,0.86,9.3,2.22
70,0.91,9.36,2.28
80,1.0,9.34,2.22
90,1.05,9.31,2.33
100,1.13,9.27,2.21
110,1.2,9.22,1.95
120,1.22,9.1,1.93
130,1.17,9.01,2.0
140,1.18,8.89,1.78
150,1.24,8.74,1.53
160,1.27,8.51,1.46
170,1.32,8.3,1.48
180,1.33,8.1,1.37
190,1.27,7.75,1.22
200,1.25,7.24,0.92
210,1.32,6.54,0.43
220,1.3,5.72,-0.0
230,1.44,4.64,-0.61
240,1.98,3.34,-1.45
250,2.18,2.09,-2.27
260,2.16,0.83,-3.49
270,2.3,-0.32,-4.6
280,2.18,-1.03,-4.97
290,2.12,-1.54,-4.57
300,2.1,-1.87,-3.86
310,2.61,-1.91,-3.16
320,3.27,-1.49,-2.14
330,3.58,-0.82,-0.83
340,3.05,0.18,0.93
350,1.39,1.1,2.16
360,-0.68,2.02,2.78
370,-3.47,3.6,4.72
380,-6.55,6.0,7.92
390,-8.43,8.51,11.02
400,-8.11,10.82,13.83
410,-5.7,12.86,16.46
420,-2.51,15.26,19.61
430,1.53,17.43,22.5
440,5.29,19.47,24.28
450,6.78,21.38,25.91
460,7.84,22.11,26.19
470,8.93,21.83,24.59
480,9.5,20.45,21.7
490,8.66,18.35,18.51
500,6.84,16.26,16.02
510,4.3,14.69,14.89
520,2.22,13.66,14.06
530,2.15,12.6,13.11
540,3.42,11.95,13.3
550,3.73,10.86,13.67
560,6.48,10.36,12.85
570,8.68,8.77,11.33
580,8.59,7.0,9.63
590,6.56,5.76,8.84
600,4.77,4.7,7.61
610,2.77,2.76,5.88
620,0.26,0.96,4.46
630,-1.98,1.23,3.59
640,-3.03,1.92,2.43
650,-3.38,0.57,1.28
660,-4.06,0.13,-0.18
670,-4.29,0.64,-0.53
680,-3.08,0.35,-2.12
690,-2.76,-0.29,-3.15
700,-3.13,0.35,-4.07
710,-3.03,1.03,-3.42
720,-2.67,1.89,-2.6
730,-2.56,2.53,-1.69
740,-2.49,3.15,-1.2
750,-2.24,3.71,-0.68
760,-2.0,4.46,-0.16
770,-2.04,5.39,0.34
780,-2.19,6.15,0.96
790,-1.52,6.75,1.24
800,-1.13,6.93,1.45
810,-1.44,7.55,1.67
820,-1.4,8.04,2.06
830,-1.1,8.37,2.16
840,-0.83,8.5,2.39
850,-0.91,8.73,2.77
860,-0.81,8.85,2.66
870,-0.48,9.04,2.58
880,-0.55,9.3,2.77
890,-0.78,9.39,3.03
900,-0.55,9.2,2.96
910,-0.58,9.34,3.17
920,-0.77,9.66,3.75
930,-0.42,9.22,3.5
940,-0.45,9.28,2.7
950,-0.22,9.34,2.69
960,0.1,9.27,3.3
970,0.23,9.2,3.09
980,0.2,9.12,2.91
990,0.32,9.2,2.93
1000,0.27,9.18,2.88
