timestamp,x,y,z
0,0.28,9.19,0.78
10,0.3,9.14,0.7
20,0.33,9.0,0.57
30,0.51,8.93,0.29
40,0.52,9.03,0.44
50,0.37,9.14,0.55
60,0.43,9.17,0.73
70,0.41,9.14,0.92
80,0.57,8.93,0.92
90,0.86,8.58,0.65
100,1.08,8.15,0.29
110,1.14,7.73,0.02
120,1.03,7.24,-0.32
130,1.19,6.58,-0.79
140,1.14,5.95,-1.29
150,1.13,5.01,-1.98
160,0.98,4.14,-2.99
170,0.41,3.2,-3.76
180,0.11,2.36,-4.22
190,-0.31,1.69,-4.33
200,-0.79,1.41,-4.38
210,-0.83,1.14,-4.68
220,-1.21,0.82,-4.63
230,-1.52,0.68,-4.17
240,-1.74,0.67,-2.93
250,-2.2,1.01,-1.18
260,-1.4,1.23,0.28
270,0.44,1.57,1.69
280,2.12,2.25,3.13
290,3.22,3.17,4.5
300,3.87,3.83,5.9
310,4.24,5.33,8.43
320,4.67,6.82,10.27
330,1.96,9.03,13.28
340,-2.47,11.64,17.32
350,-5.24,14.26,18.72
360,-6.26,16.05,19.31
370,-5.59,17.23,19.12
380,-4.63,17.92,18.77
390,-3.76,18.19,17.79
400,-2.63,18.14,16.44
410,-2.08,17.85,15.8
420,-1.49,17.22,15.01
430,-0.77,16.15,14.18
440,0.12,15.13,13.06
450,1.17,14.1,12.25
460,2.43,12.93,11.53
470,3.86,12.17,11.08
480,3.09,11.54,11.01
490,1.81,12.16,10.66
500,3.13,11.03,11.56
510,4.07,10.28,12.03
520,4.61,10.37,11.73
530,4.89,9.92,11.21
540,4.68,8.77,10.31
550,3.63,7.3,9.78
560,1.57,7.08,8.49
570,-0.47,6.99,8.13
580,-0.8,6.03,7.53
590,-0.45,4.56,6.05
600,-0.76,3.95,4.66
610,-0.14,3.84,2.54
620,0.24,3.3,1.59
630,-0.52,2.91,1.38
640,-1.74,3.01,1.1
650,-1.51,2.94,0.68
660,-0.52,2.55,0.11
670,-0.35,2.78,-0.73
680,-0.82,3.62,-0.87
690,-1.14,4.1,-0.23
700,-1.27,4.37,0.01
710,-1.32,4.75,-0.67
720,-1.29,5.09,-0.96
730,-1.66,5.74,-1.07
740,-2.08,6.04,-0.89
750,-2.05,6.43,-0.96
760,-1.97,6.9,-0.67
770,-1.88,7.11,-0.44
780,-1.73,7.3,-0.77
790,-1.6,7.57,-0.8
800,-2.05,7.94,-0.16
810,-2.31,8.2,0.23
820,-2.18,8.47,0.31
830,-1.64,8.56,0.22
840,-1.21,8.25,0.18
850,-1.27,8.34,-0.11
860,-2.08,8.94,0.19
870,-2.34,9.12,0.63
880,-2.12,9.09,0.7
890,-1.84,9.12,0.67
900,-1.48,9.22,0.47
910,-0.97,8.73,0.36
920,-1.03,8.83,-0.12
930,-1.42,9.24,0.22
940,-1.47,9.5,0.93
950,-1.01,9.24,0.89
960,-0.75,9.88,0.66
970,-1.0,8.88,0.36
980,-1.77,9.86,0.65
990,-1.8,8.95,1.59
1000,-0.9,8.79,0.61
