timestamp,x,y,z
0,-0.74,8.62,2.85
10,-0.87,8.64,2.96
20,-0.64,8.62,2.95
30,-0.51,8.57,2.91
40,-0.23,8.37,2.82
50,-0.02,8.1,2.49
60,0.18,7.74,1.97
70,0.33,7.2,1.49
80,0.1,6.4,0.66
90,0.65,5.51,-0.23
100,0.88,4.87,-0.65
110,0.65,4.08,-1.09
120,0.25,3.08,-1.96
130,-0.07,1.96,-3.17
140,-0.46,0.78,-4.53
150,-0.97,-0.48,-5.94
160,-1.63,-1.53,-6.84
170,-1.68,-2.5,-6.97
180,-1.56,-3.16,-5.65
190,-1.37,-3.51,-3.67
200,-0.66,-3.49,-1.58
210,0.48,-3.15,0.02
220,1.87,-2.39,1.31
230,2.15,-1.27,2.91
240,1.24,0.29,4.92
250,-0.46,2.4,8.69
260,-1.86,4.88,14.06
270,-3.87,7.63,19.38
280,-5.79,10.2,23.34
290,-6.45,12.14,25.25
300,-5.3,13.6,26.2
310,-1.76,14.83,27.36
320,2.61,16.08,28.76
330,6.39,16.74,28.76
340,8.86,16.67,26.82
350,9.76,15.66,24.1
360,8.41,14.2,21.02
370,6.3,12.64,18.21
380,4.26,11.36,16.62
390,2.82,10.39,15.45
400,2.1,9.38,14.27
410,1.39,9.71,13.69
420,3.28,8.77,14.18
430,5.23,7.94,12.88
440,6.42,7.12,11.7
450,5.58,6.28,10.78
460,4.0,5.45,9.41
470,2.33,4.78,7.77
480,1.52,3.55,6.15
490,0.4,2.42,4.92
500,-0.28,1.86,3.12
510,-1.65,1.46,1.79
520,-2.47,1.5,0.74
530,-2.66,1.33,0.24
540,-2.44,1.3,-0.46
550,-2.25,1.47,-1.33
560,-2.32,1.98,-1.09
570,-2.23,2.33,-0.66
580,-1.94,2.98,-0.7
590,-1.74,3.68,-0.47
600,-1.37,3.86,0.12
610,-0.87,4.23,0.43
620,-0.69,4.79,0.83
630,-0.37,5.24,1.37
640,-0.3,5.72,2.26
650,0.12,6.43,2.64
660,0.15,6.76,3.18
670,0.24,6.74,3.02
680,0.02,6.87,2.85
690,-0.45,7.46,3.07
700,-0.49,7.45,3.34
710,-0.34,7.66,2.93
720,-0.14,7.94,3.33
730,-0.35,8.07,3.82
740,-0.55,8.13,4.06
750,-0.32,8.23,4.12
760,-0.04,8.24,4.04
770,-0.17,8.29,4.15
780,-0.12,8.16,4.04
790,-0.32,8.07,3.82
800,-0.52,8.11,4.04
810,-0.38,8.13,3.89
820,-0.14,8.07,3.79
830,-0.09,8.14,4.07
840,-0.16,8.26,4.28
850,0.02,8.24,4.28
860,0.16,8.05,3.99
870,-0.11,8.19,3.95
880,-0.22,8.21,4.12
890,-0.06,8.28,4.16
900,0.21,8.21,3.89
910,0.27,8.26,3.76
920,-0.07,7.93,4.03
930,-0.05,8.37,3.72
940,0.57,7.67,3.41
950,-0.53,7.78,3.6
960,-0.58,8.01,3.74
970,-0.17,7.69,3.43
980,0.1,7.27,3.05
990,-0.74,7.71,3.42
1000,-0.9,7.9,3.59
