timestamp,x,y,z
0,0.9,8.74,2.24
10,0.81,8.71,2.26
20,0.59,8.72,2.31
30,0.62,8.63,2.3
40,0.71,8.5,2.26
50,0.68,8.26,2.18
60,0.77,7.74,1.9
70,0.73,6.97,1.47
80,0.7,5.96,0.74
90,0.79,4.89,-0.15
100,0.51,3.88,-1.19
110,-0.2,2.73,-2.37
120,-0.79,1.34,-3.77
130,-0.72,0.31,-4.28
140,-0.36,-0.68,-4.72
150,-0.44,-1.53,-5.09
160,-0.6,-1.87,-4.14
170,-0.15,-1.85,-3.02
180,1.19,-1.75,-2.11
190,2.05,-1.2,-1.02
200,2.49,-0.65,-0.8
210,2.1,0.56,-0.52
220,0.49,2.47,1.93
230,-1.29,4.25,5.44
240,-3.27,6.09,9.05
250,-4.33,7.63,11.58
260,-2.69,9.0,12.42
270,-0.68,10.42,14.19
280,0.95,12.56,16.81
290,2.63,14.69,19.92
300,3.47,16.8,22.73
310,5.21,18.23,24.2
320,8.0,19.07,25.16
330,9.78,19.31,25.98
340,11.49,18.55,23.84
350,12.78,17.05,20.79
360,11.78,15.66,18.46
370,9.26,14.54,16.78
380,6.17,13.76,15.89
390,3.68,13.02,15.48
400,2.73,12.52,15.69
410,3.11,11.98,15.38
420,4.28,10.76,14.55
430,5.86,9.29,13.01
440,5.82,7.64,11.76
450,5.79,6.24,10.26
460,4.56,4.07,8.18
470,2.47,2.24,5.38
480,-0.22,0.65,3.31
490,-2.64,0.49,1.78
500,-4.06,-0.62,-0.15
510,-5.07,-1.58,-2.1
520,-5.79,-1.09,-3.48
530,-5.75,-0.46,-3.37
540,-4.55,-0.5,-3.47
550,-3.75,0.33,-3.54
560,-3.04,1.4,-2.73
570,-1.71,2.14,-1.83
580,-1.07,2.88,-1.15
590,-1.08,3.93,-0.51
600,-0.55,4.75,0.34
610,-0.17,5.75,0.74
620,-0.0,6.53,1.28
630,0.05,7.03,1.57
640,0.08,7.3,1.74
650,0.01,8.11,1.9
660,-0.22,8.49,2.38
670,-0.23,8.6,1.97
680,0.2,8.69,1.67
690,0.2,8.83,2.15
700,-0.24,8.98,2.59
710,-0.12,9.0,2.88
720,0.09,9.0,2.79
730,0.3,9.05,2.7
740,0.21,9.09,3.1
750,0.36,9.03,3.17
760,0.5,8.93,3.01
770,0.6,9.0,2.75
780,0.56,9.11,2.88
790,1.0,8.99,2.74
800,1.19,8.73,2.62
810,0.67,8.96,2.97
820,0.47,8.89,3.3
830,0.68,8.81,3.08
840,0.55,8.88,3.17
850,0.88,8.29,3.4
860,-0.15,9.19,3.39
870,0.47,8.86,3.35
880,1.54,8.87,2.14
890,0.74,8.63,2.85
900,0.26,9.19,3.47
910,0.22,9.31,3.17
920,1.21,8.46,2.16
930,0.47,8.68,2.79
940,0.21,9.12,3.23
950,0.47,8.99,2.36
960,0.25,9.22,2.55
970,0.06,8.96,3.78
980,0.42,8.96,3.09
990,0.83,8.9,2.28
1000,0.9,8.63,2.29
