timestamp,x,y,z
0,2.5,9.37,0.83
10,2.37,9.47,0.84
20,2.16,9.65,0.97
30,1.7,9.99,1.25
40,1.32,10.24,1.48
50,1.16,10.45,1.77
60,1.42,10.64,2.21
70,1.97,10.73,2.48
80,2.97,10.6,2.49
90,3.35,10.44,2.32
100,3.36,10.14,1.96
110,3.46,9.79,1.3
120,3.33,9.51,0.86
130,3.17,9.26,0.5
140,2.98,8.98,0.22
150,2.8,8.83,0.05
160,2.68,8.72,-0.11
170,2.58,8.58,-0.34
180,2.72,8.38,-0.46
190,2.85,8.01,-0.91
200,2.75,7.61,-1.37
210,2.36,7.22,-1.65
220,1.97,6.76,-1.99
230,1.69,6.14,-2.59
240,1.38,5.37,-3.42
250,0.98,4.6,-4.04
260,0.07,3.9,-4.68
270,-0.4,2.85,-4.99
280,-0.51,1.65,-5.39
290,-0.49,0.38,-5.83
300,-0.47,-0.76,-6.03
310,-0.44,-1.68,-5.98
320,0.19,-2.44,-6.15
330,1.22,-2.8,-6.15
340,2.13,-2.7,-5.63
350,2.19,-2.02,-5.19
360,0.83,-0.55,-3.87
370,-0.7,1.35,-0.56
380,-1.32,3.5,4.78
390,-0.8,5.93,10.43
400,0.75,8.41,15.8
410,2.97,10.62,18.89
420,4.9,12.3,19.11
430,6.56,13.49,18.62
440,7.01,14.45,19.01
450,6.8,15.16,18.61
460,7.08,15.81,19.01
470,8.0,16.05,19.58
480,8.43,16.24,19.99
490,8.03,16.46,19.48
500,8.88,15.55,18.55
510,9.07,15.14,17.36
520,8.96,14.24,16.05
530,8.74,13.7,15.01
540,7.29,13.64,15.43
550,6.96,13.83,15.54
560,9.53,12.0,14.62
570,9.47,11.54,12.54
580,7.82,10.8,12.71
590,6.77,9.48,11.38
600,5.72,7.42,9.89
610,4.79,5.32,6.91
620,2.57,4.23,4.92
630,-0.24,4.16,4.21
640,-2.85,4.24,3.87
650,-3.49,3.35,3.35
660,-3.42,2.9,1.37
670,-2.69,2.61,-0.04
680,-2.36,2.34,-0.84
690,-2.27,2.2,-1.65
700,-2.42,2.71,-2.01
710,-2.59,3.42,-1.64
720,-2.59,3.53,-1.74
730,-1.89,3.75,-2.29
740,-1.93,4.41,-2.25
750,-1.57,4.42,-2.52
760,-1.13,4.83,-2.61
770,-1.19,5.35,-2.3
780,-1.0,5.67,-2.08
790,-0.62,5.98,-1.83
800,-0.82,6.66,-1.76
810,-0.92,6.96,-1.17
820,-0.22,7.17,-1.4
830,0.1,7.5,-1.36
840,0.53,7.77,-1.08
850,0.59,8.09,-0.8
860,0.11,8.61,-0.23
870,0.14,8.76,0.28
880,-0.16,9.03,0.34
890,0.2,9.07,0.38
900,0.6,9.18,0.13
910,0.39,9.41,0.3
920,0.33,9.61,0.47
930,0.56,9.66,0.43
940,0.61,9.5,-0.02
950,0.08,9.76,-0.11
960,-0.07,9.86,0.63
970,0.44,9.53,0.78
980,-0.21,10.01,0.95
990,0.33,9.96,1.11
1000,0.84,9.69,0.92
