timestamp,x,y,z
0,2.1,8.17,0.5
10,2.13,7.93,0.28
20,2.13,7.66,0.12
30,2.05,7.38,-0.12
40,2.05,7.07,-0.45
50,1.98,6.85,-0.5
60,2.09,6.5,-0.25
70,2.39,6.02,0.12
80,2.73,5.52,0.32
90,3.14,4.96,0.47
100,3.49,4.39,0.42
110,3.9,3.7,0.13
120,4.11,2.86,-0.38
130,3.66,1.86,-0.91
140,2.51,0.79,-1.73
150,1.1,-0.52,-2.77
160,-0.24,-2.03,-4.25
170,-1.06,-3.56,-6.1
180,-1.09,-4.86,-7.81
190,-1.23,-5.33,-7.85
200,-1.1,-4.9,-6.87
210,0.03,-3.75,-5.31
220,0.38,-1.92,-3.58
230,-0.64,0.71,-0.55
240,-2.77,4.3,3.64
250,-4.49,8.2,9.1
260,-5.42,12.3,14.74
270,-4.23,16.14,20.01
280,-1.88,19.92,23.36
290,2.8,23.73,27.29
300,8.04,27.08,30.82
310,12.1,28.98,31.75
320,14.86,28.47,29.43
330,15.83,25.99,25.82
340,14.79,22.46,21.88
350,11.57,18.62,17.48
360,7.48,15.16,13.01
370,3.2,12.44,9.59
380,-0.53,11.43,7.51
390,-2.85,10.99,5.8
400,-3.52,11.09,5.63
410,-3.77,10.8,6.99
420,-2.28,9.84,6.88
430,-0.45,9.21,5.01
440,1.48,7.13,4.2
450,-0.56,7.73,4.35
460,-2.57,7.25,5.68
470,-2.64,6.28,5.11
480,-2.35,5.12,3.53
490,-2.6,4.27,2.49
500,-1.72,4.18,1.2
510,-1.43,4.15,1.8
520,-1.84,4.47,1.45
530,-0.74,3.79,0.91
540,0.5,3.99,0.17
550,0.84,3.73,-0.17
560,1.52,3.64,-2.12
570,1.08,4.26,-1.96
580,0.22,4.66,-0.91
590,-0.35,5.63,-0.2
600,0.41,5.46,-0.32
610,1.32,5.39,-0.85
620,1.71,6.24,-1.17
630,1.67,6.31,-0.55
640,1.65,6.5,-0.99
650,1.16,7.15,-0.94
660,1.21,7.3,-0.77
670,0.51,8.35,0.28
680,2.04,7.55,0.23
690,2.15,8.03,-0.75
700,1.98,8.13,0.22
710,2.15,8.19,0.04
720,1.84,8.7,0.04
730,1.42,9.01,0.94
740,1.86,8.79,0.91
750,1.72,9.24,1.16
760,1.86,9.34,1.53
770,2.15,9.08,1.07
780,2.13,9.35,0.64
790,1.78,9.6,1.09
800,1.89,9.25,1.31
810,1.8,9.2,0.84
820,1.62,9.41,0.88
830,1.31,9.62,1.32
840,1.45,9.78,1.13
850,1.69,9.89,1.02
860,1.43,9.65,0.97
870,1.22,9.55,1.47
880,1.71,9.47,0.58
890,1.44,9.81,0.25
900,0.93,9.66,1.5
910,0.95,9.71,0.9
920,1.02,9.48,1.43
930,1.28,9.84,0.88
940,0.95,10.05,1.43
950,1.74,9.26,1.6
960,1.73,9.27,0.97
970,1.27,10.06,1.25
980,1.63,9.71,1.35
990,1.83,9.42,0.97
1000,1.71,9.45,0.95
