timestamp,x,y,z
0,-0.78,8.78,3.44
10,-0.72,8.74,3.4
20,-0.72,8.74,3.4
30,-0.76,8.77,3.45
40,-0.77,8.79,3.49
50,-0.74,8.78,3.47
60,-0.82,8.88,3.55
70,-0.76,8.86,3.55
80,-0.76,8.81,3.62
90,-0.86,8.82,3.65
100,-0.78,8.84,3.63
110,-0.67,8.83,3.6
120,-0.58,8.83,3.61
130,-0.57,8.87,3.71
140,-0.27,8.94,3.82
150,-0.19,8.91,3.87
160,-0.05,8.8,3.57
170,0.2,8.52,3.19
180,0.1,8.14,2.69
190,0.15,7.72,2.27
200,-0.04,7.25,1.88
210,-0.2,6.54,1.05
220,0.12,5.62,0.26
230,0.36,4.6,-0.52
240,0.52,3.54,-1.39
250,-0.11,2.56,-2.27
260,-0.96,1.53,-3.12
270,-1.12,0.25,-4.13
280,-0.67,-0.93,-5.29
290,-0.21,-1.7,-6.16
300,-0.14,-2.26,-6.59
310,0.11,-2.57,-6.37
320,0.5,-2.42,-5.53
330,0.47,-2.0,-4.34
340,-0.55,-1.4,-2.7
350,-2.62,-0.35,-0.24
360,-5.52,1.04,2.62
370,-8.31,2.79,5.59
380,-9.03,4.52,8.86
390,-7.62,6.57,13.0
400,-2.03,9.15,18.57
410,4.14,12.19,24.8
420,7.98,15.25,29.97
430,10.27,17.43,32.44
440,9.45,18.36,33.36
450,6.62,18.08,32.21
460,5.77,16.48,28.43
470,5.95,14.64,24.03
480,5.69,12.72,19.78
490,4.04,10.68,16.13
500,2.1,9.67,14.45
510,-0.31,9.11,14.1
520,-1.37,8.94,13.22
530,-0.04,8.27,13.03
540,1.57,7.6,12.58
550,1.96,7.39,11.5
560,1.94,6.18,10.45
570,1.33,5.1,9.52
580,0.33,4.21,7.27
590,-1.13,3.39,5.25
600,-2.59,3.34,4.4
610,-2.66,2.41,3.64
620,-3.06,2.14,2.37
630,-2.36,1.96,0.61
640,-1.06,1.73,0.17
650,-0.96,2.36,-0.03
660,-1.24,2.28,-0.05
670,-0.01,2.47,-0.38
680,0.82,2.52,-0.29
690,0.46,3.06,-0.47
700,0.11,3.31,-0.46
710,0.25,3.68,0.01
720,-0.24,4.35,0.63
730,-0.37,5.01,0.78
740,0.67,5.09,0.51
750,0.9,5.57,0.48
760,0.03,6.28,1.18
770,-0.45,6.6,1.61
780,-0.09,6.96,1.62
790,-0.48,7.2,2.09
800,-1.24,7.72,2.69
810,-1.66,7.99,3.16
820,-1.45,8.34,3.29
830,-1.25,8.4,3.36
840,-0.88,8.51,3.05
850,-0.46,8.46,3.0
860,-0.45,8.58,3.01
870,-0.48,8.64,3.15
880,-0.74,8.7,3.51
890,-0.73,8.79,3.52
900,-0.63,8.82,3.45
910,-0.3,8.61,3.27
920,-0.38,8.5,3.48
930,-0.33,8.6,3.34
940,-0.11,8.55,3.22
950,0.07,8.62,3.1
960,-0.06,8.75,3.25
970,-0.21,8.71,3.42
980,-0.27,8.61,3.4
990,-0.32,8.64,3.17
1000,-0.48,9.1,3.18
