timestamp,x,y,z
0,2.4,8.23,-0.47
10,2.45,8.04,-0.68
20,2.44,7.85,-0.88
30,2.36,7.77,-1.06
40,2.28,7.69,-1.24
50,2.24,7.66,-1.47
60,2.28,7.65,-1.64
70,2.52,7.52,-1.89
80,2.87,7.33,-2.21
90,2.97,7.03,-2.27
100,3.18,6.84,-2.24
110,2.95,6.5,-1.83
120,2.48,6.26,-1.19
130,1.82,6.05,-0.33
140,1.26,5.69,0.14
150,0.93,5.09,0.21
160,0.81,4.37,0.01
170,1.24,3.44,-0.85
180,1.85,2.43,-1.77
190,2.0,1.46,-2.46
200,1.64,0.42,-3.22
210,1.44,-0.8,-4.11
220,1.76,-1.87,-4.62
230,2.03,-2.52,-4.6
240,1.33,-2.63,-4.07
250,0.13,-2.07,-2.31
260,-0.97,-0.67,0.31
270,-1.44,1.14,3.4
280,-0.67,3.2,6.65
290,-1.08,6.82,12.93
300,-1.44,11.66,21.29
310,1.33,16.27,28.65
320,6.33,19.99,32.75
330,11.0,22.72,33.41
340,14.15,24.02,31.93
350,14.3,23.78,29.52
360,11.65,22.32,26.51
370,8.04,20.09,23.17
380,4.92,17.88,19.63
390,3.41,15.27,16.72
400,3.56,12.62,14.24
410,3.58,11.08,12.44
420,3.58,9.77,11.12
430,4.15,8.2,9.8
440,5.08,6.94,7.01
450,5.82,4.58,5.3
460,3.25,4.31,3.99
470,0.93,3.85,3.07
480,-0.49,3.33,2.98
490,-0.86,2.39,2.71
500,-0.03,1.86,0.01
510,-0.82,2.39,-0.36
520,-1.16,2.61,1.08
530,-1.07,2.78,0.79
540,-1.06,3.06,-0.16
550,-1.3,3.75,-0.64
560,-1.01,3.89,-0.4
570,-0.25,4.07,-0.82
580,0.26,4.44,-1.25
590,0.4,5.19,-1.07
600,-0.13,6.15,-0.12
610,-0.54,6.46,0.7
620,-0.27,6.93,1.19
630,1.14,7.06,1.43
640,2.79,6.84,0.73
650,2.9,7.05,0.59
660,2.19,7.73,1.19
670,1.71,8.32,1.92
680,1.26,8.83,2.6
690,1.99,8.67,2.2
700,2.67,8.54,1.45
710,2.64,8.41,1.37
720,2.36,8.37,1.09
730,1.73,8.26,0.59
740,1.21,8.37,0.01
750,0.64,8.75,0.42
760,0.51,8.95,0.89
770,0.97,8.74,0.86
780,1.19,8.7,0.77
790,1.61,9.0,1.23
800,2.24,9.01,1.67
810,2.8,8.85,1.58
820,2.54,9.13,1.66
830,2.01,9.06,2.41
840,0.71,9.79,2.51
850,1.1,9.53,2.35
860,1.43,9.4,1.85
870,1.95,9.26,1.86
880,2.15,9.11,1.22
890,2.15,8.99,1.32
900,1.84,9.42,1.48
910,1.91,9.32,1.53
920,2.9,9.1,1.36
930,2.65,8.88,1.87
940,2.6,8.92,1.61
950,2.28,8.96,1.42
960,1.84,9.11,1.55
970,1.67,9.31,1.66
980,1.88,9.25,1.35
990,2.06,9.1,1.42
1000,1.98,9.21,1.56
