timestamp,x,y,z
0,1.47,9.69,0.68
10,1.49,9.72,0.73
20,1.51,9.72,0.76
30,1.6,9.67,0.71
40,1.64,9.69,0.67
50,1.75,9.65,0.6
60,1.77,9.59,0.5
70,1.63,9.58,0.52
80,1.48,9.56,0.5
90,1.44,9.56,0.46
100,1.43,9.58,0.54
110,1.46,9.6,0.58
120,1.54,9.63,0.65
130,1.67,9.62,0.66
140,1.67,9.63,0.73
150,1.71,9.58,0.68
160,1.66,9.57,0.69
170,1.71,9.5,0.63
180,1.69,9.37,0.55
190,1.7,9.22,0.38
200,1.72,9.0,0.11
210,1.7,8.79,-0.1
220,1.61,8.56,-0.26
230,1.56,8.34,-0.4
240,1.6,8.11,-0.47
250,1.66,7.88,-0.57
260,1.71,7.53,-0.72
270,1.7,7.07,-0.91
280,1.65,6.44,-1.19
290,1.82,5.44,-1.76
300,2.26,4.05,-2.59
310,2.85,2.33,-3.61
320,3.14,0.63,-4.7
330,3.61,-1.02,-6.02
340,3.96,-2.37,-6.84
350,3.58,-3.17,-6.96
360,3.18,-3.52,-6.42
370,2.95,-3.74,-5.59
380,2.04,-3.9,-4.56
390,1.13,-3.77,-3.33
400,0.17,-3.26,-1.62
410,-1.48,-2.07,1.45
420,-4.61,0.11,5.54
430,-6.19,2.9,10.16
440,-5.88,6.79,16.94
450,-5.97,11.6,25.37
460,-5.11,15.93,32.0
470,-2.79,19.05,33.37
480,-0.43,20.64,31.84
490,1.44,20.99,28.7
500,2.73,20.66,25.04
510,3.36,19.76,22.71
520,2.98,18.19,20.53
530,2.56,16.18,18.04
540,1.88,14.32,15.66
550,0.98,12.83,13.61
560,0.01,12.06,12.92
570,-0.58,11.5,12.23
580,0.06,10.79,11.2
590,0.98,10.13,10.1
600,1.85,9.31,9.14
610,2.38,8.23,7.9
620,2.44,7.07,6.62
630,1.91,6.13,5.55
640,0.11,5.67,4.86
650,-1.49,5.42,5.06
660,-2.09,4.71,4.18
670,-1.7,3.38,2.48
680,-1.68,2.97,0.38
690,-2.15,2.75,-0.24
700,-2.36,3.23,-0.79
710,-2.79,3.71,0.12
720,-2.72,4.12,-0.01
730,-2.21,4.0,-0.41
740,-1.32,4.51,-0.84
750,-0.7,4.63,-0.49
760,-0.2,5.08,-0.63
770,-0.59,5.81,-0.05
780,-0.83,6.47,0.37
790,-0.34,6.49,0.4
800,0.07,6.49,-0.37
810,-0.01,6.9,-0.52
820,-0.28,7.26,-0.11
830,-0.19,7.16,-0.28
840,-0.85,7.75,-0.57
850,-1.06,7.98,-0.01
860,-0.86,8.02,-0.05
870,-1.1,8.59,0.0
880,-0.66,8.49,-0.1
890,-0.18,8.39,-0.59
900,-0.14,8.69,-0.06
910,-0.1,8.89,0.35
920,0.14,8.74,0.22
930,-0.16,8.87,0.39
940,-0.9,9.19,0.97
950,-1.22,9.32,1.24
960,-0.84,9.08,0.99
970,-0.41,8.94,0.49
980,-0.48,9.08,0.57
990,-0.41,9.06,0.62
1000,-0.62,9.22,0.59
