timestamp,x,y,z
0,2.6,10.86,0.31
10,2.22,11.13,0.54
20,1.64,11.56,1.07
30,0.62,11.82,1.6
40,-0.25,11.53,2.33
50,-0.73,10.52,3.11
60,-1.13,9.18,2.89
70,-1.64,7.65,2.05
80,-2.35,6.65,1.85
90,-2.84,6.26,2.47
100,-2.89,5.66,2.76
110,-2.67,4.53,2.43
120,-2.08,3.2,1.73
130,-1.12,1.86,0.53
140,0.2,0.63,-0.97
150,2.11,-0.46,-2.4
160,3.86,-0.81,-3.64
170,5.28,-0.45,-4.03
180,5.83,0.94,-3.06
190,6.1,2.6,-2.2
200,6.7,4.19,-1.48
210,7.53,5.42,-1.08
220,8.4,6.32,-1.21
230,9.36,6.94,-1.52
240,10.25,7.63,-1.61
250,10.79,8.52,-1.81
260,11.43,9.56,-1.81
270,12.06,10.64,-1.65
280,11.94,11.87,-1.12
290,11.09,13.1,-0.24
300,9.62,13.65,0.36
310,8.11,13.68,0.52
320,6.84,13.61,1.02
330,6.19,13.66,1.25
340,6.31,14.11,1.91
350,6.95,14.65,2.13
360,7.86,14.87,2.56
370,7.66,15.12,2.41
380,7.99,14.82,2.67
390,7.45,14.7,3.38
400,6.26,14.62,3.98
410,4.96,14.44,4.53
420,3.46,14.76,5.46
430,2.6,15.21,6.72
440,2.27,14.98,6.98
450,2.07,14.38,6.48
460,2.06,13.69,5.95
470,2.28,13.02,5.6
480,2.12,12.41,5.6
490,2.23,11.86,6.66
500,1.35,11.68,4.42
510,1.6,10.81,4.8
520,1.77,10.03,4.98
530,1.87,8.66,3.93
540,1.76,8.5,2.72
550,1.81,8.45,3.19
560,2.51,7.64,3.74
570,2.35,7.44,2.71
580,2.53,7.29,1.78
590,2.64,7.62,2.05
600,2.61,7.69,1.95
610,2.55,7.56,1.58
620,2.36,7.79,1.79
630,2.1,7.83,1.33
640,1.99,7.53,0.81
650,2.14,7.46,0.94
660,2.4,7.47,0.74
670,2.55,6.98,-0.02
680,2.63,6.86,-0.22
690,3.0,6.79,-0.73
700,3.46,6.63,-1.7
710,3.83,6.64,-1.7
720,3.98,6.96,-1.33
730,4.0,6.97,-1.38
740,4.01,7.26,-1.28
750,4.12,7.73,-1.08
760,4.34,8.12,-0.73
770,4.35,8.46,-0.39
780,4.64,8.56,-0.99
790,4.74,8.91,-1.23
800,5.37,8.58,-1.02
810,5.07,8.53,-1.57
820,5.59,8.67,-1.36
830,5.11,8.84,-1.0
840,5.81,8.32,-1.44
850,4.83,8.61,-1.57
860,4.89,8.97,-0.82
870,4.63,9.12,-0.46
880,4.86,9.19,-0.8
890,4.71,9.15,-1.1
900,4.91,8.93,-1.1
910,5.01,8.74,-1.56
920,5.21,8.62,-1.76
930,5.15,8.57,-1.67
940,5.25,8.57,-1.65
950,5.27,8.73,-1.51
960,5.21,8.84,-1.39
970,5.17,9.04,-1.32
980,5.4,8.85,-1.09
990,5.1,8.72,-1.15
1000,4.86,8.69,-1.19
