timestamp,x,y,z
0,3.25,9.95,4.0
10,3.38,10.16,4.24
20,3.59,10.29,4.3
30,3.67,10.41,4.33
40,3.48,10.54,4.57
50,3.2,10.7,4.86
60,2.44,10.81,5.13
70,1.31,10.8,5.47
80,-0.38,10.61,5.81
90,-2.65,10.17,6.0
100,-4.76,8.66,6.3
110,-6.39,6.84,5.35
120,-7.52,4.95,3.7
130,-8.19,3.4,2.68
140,-8.33,2.49,1.53
150,-8.6,1.94,1.1
160,-8.53,1.92,1.67
170,-7.08,1.69,2.62
180,-4.8,1.31,3.0
190,-2.3,0.74,2.24
200,0.3,0.32,1.14
210,2.46,0.17,0.23
220,4.11,0.23,-0.18
230,4.68,0.87,0.16
240,5.18,1.39,0.77
250,6.3,2.09,1.08
260,7.58,2.83,1.06
270,8.7,3.56,1.36
280,9.81,4.21,2.04
290,10.98,4.69,2.56
300,12.31,5.19,2.62
310,13.61,5.99,3.13
320,14.13,6.86,4.46
330,13.61,8.04,5.53
340,13.31,8.96,5.88
350,12.7,9.67,6.33
360,11.85,10.18,6.76
370,11.03,10.3,6.38
380,10.36,10.0,6.69
390,9.12,10.54,7.47
400,7.86,9.9,8.23
410,6.94,9.89,8.34
420,6.11,10.96,8.54
430,5.88,10.67,8.68
440,5.49,10.02,8.46
450,4.95,9.67,8.72
460,4.86,9.39,8.83
470,4.37,9.05,9.05
480,4.14,8.62,9.04
490,3.65,8.6,9.37
500,3.19,8.95,9.91
510,2.41,8.88,10.58
520,1.58,8.98,11.12
530,0.75,9.09,12.35
540,0.43,8.94,12.4
550,0.81,8.56,11.28
560,1.11,8.5,10.59
570,1.42,8.59,10.92
580,1.23,8.58,11.11
590,0.78,8.78,10.98
600,0.18,8.48,11.14
610,-0.68,8.46,11.16
620,-0.75,7.95,10.36
630,-0.87,7.37,8.91
640,-1.32,7.3,8.75
650,-1.56,6.97,8.68
660,-2.17,6.91,8.18
670,-2.19,6.64,8.16
680,-2.08,6.39,7.96
690,-1.96,6.0,7.15
700,-1.92,5.9,6.36
710,-1.77,6.19,5.99
720,-1.57,6.08,5.92
730,-1.47,6.19,5.14
740,-0.99,6.12,4.87
750,-1.01,6.06,5.0
760,-1.41,6.03,4.92
770,-1.34,5.98,4.36
780,-1.11,5.89,3.96
790,-0.67,5.7,3.18
800,-0.57,5.69,2.07
810,-0.34,5.82,2.07
820,0.03,5.97,2.42
830,0.4,6.02,1.92
840,0.92,6.22,1.89
850,1.71,6.48,2.26
860,2.27,6.71,2.31
870,2.59,6.92,2.07
880,2.89,7.08,1.71
890,3.2,7.19,1.21
900,3.37,7.34,1.04
910,3.48,7.54,1.0
920,3.36,7.94,1.63
930,3.15,8.09,2.21
940,3.23,8.03,2.27
950,3.26,7.92,1.81
960,3.24,8.05,1.43
970,3.11,8.21,1.57
980,2.68,8.27,1.92
990,2.18,8.32,2.08
1000,1.74,8.22,2.18
