timestamp,x,y,z
0,3.73,10.43,0.2
10,3.65,10.64,0.3
20,3.42,11.1,0.47
30,3.03,11.7,0.69
40,1.95,11.84,1.56
50,1.37,12.08,1.87
60,0.79,11.96,2.26
70,0.64,11.6,2.33
80,0.73,10.82,2.31
90,0.86,9.78,2.32
100,0.66,8.65,2.36
110,0.04,7.36,2.03
120,-0.63,6.3,1.97
130,-0.78,5.6,2.26
140,-0.35,4.51,1.6
150,0.05,3.43,0.65
160,0.61,2.32,-0.34
170,1.57,1.25,-1.41
180,2.89,0.02,-2.61
190,4.63,-1.08,-3.81
200,6.43,-1.7,-4.39
210,7.4,-1.54,-4.08
220,8.01,-0.63,-3.41
230,9.05,0.61,-2.94
240,10.19,2.08,-2.36
250,11.77,3.52,-2.15
260,13.33,4.76,-2.16
270,14.47,6.37,-1.58
280,14.82,8.65,0.26
290,14.35,10.73,1.97
300,13.19,12.6,3.4
310,11.34,14.38,5.07
320,9.3,16.0,6.59
330,7.84,17.05,7.46
340,6.7,17.46,7.42
350,5.93,17.33,7.16
360,5.23,16.91,6.96
370,4.05,16.51,7.34
380,2.15,16.45,8.1
390,0.98,16.18,9.29
400,-0.72,15.92,9.14
410,-1.54,15.42,9.35
420,-2.16,15.08,9.43
430,-2.98,14.5,9.32
440,-2.7,13.38,8.75
450,-2.75,12.43,8.19
460,-2.44,11.4,7.49
470,-2.11,10.55,6.87
480,-1.73,10.03,6.59
490,-0.71,9.2,5.87
500,-0.26,8.52,5.25
510,-0.21,7.83,4.73
520,-0.63,7.86,4.26
530,0.57,7.28,4.28
540,1.78,6.58,4.26
550,2.28,6.41,3.73
560,1.88,7.02,2.55
570,2.55,6.5,1.81
580,3.24,6.51,1.64
590,3.42,6.66,1.46
600,3.7,6.84,1.04
610,4.27,6.85,0.8
620,4.81,6.6,0.12
630,5.42,6.45,-0.47
640,5.47,6.32,-1.49
650,5.6,6.27,-2.0
660,5.48,6.15,-2.55
670,5.14,6.36,-2.54
680,4.67,6.73,-2.06
690,4.28,7.06,-1.85
700,4.07,7.35,-1.49
710,4.04,7.76,-1.08
720,4.06,7.88,-1.18
730,4.2,7.92,-1.64
740,4.54,7.94,-1.79
750,4.56,8.2,-1.73
760,4.92,8.19,-1.44
770,5.36,8.22,-2.04
780,5.54,8.13,-2.08
790,5.31,8.07,-2.02
800,4.96,8.04,-1.37
810,4.59,8.54,-0.88
820,4.38,8.83,-0.72
830,4.58,8.74,-0.94
840,4.8,8.85,-0.9
850,5.04,8.83,-0.95
860,5.15,8.65,-1.05
870,5.17,8.47,-1.47
880,5.21,8.45,-1.51
890,4.98,8.57,-0.93
900,4.48,8.63,-0.69
910,4.23,8.78,-0.51
920,4.01,8.96,-0.33
930,4.07,8.97,-0.48
940,4.19,9.0,-0.49
950,4.57,8.69,-0.58
960,3.59,9.26,-0.35
970,3.86,9.29,-0.69
980,4.11,8.73,-0.37
990,4.58,8.5,-0.43
1000,3.77,9.28,-0.34
