timestamp,x,y,z
0,4.86,9.25,-0.74
10,4.99,9.28,-0.92
20,5.11,9.32,-0.94
30,5.14,9.4,-1.04
40,5.06,9.47,-1.15
50,5.25,9.6,-1.33
60,5.6,9.9,-1.36
70,6.02,10.11,-1.44
80,6.14,10.74,-0.71
90,5.48,11.46,0.72
100,4.15,11.81,1.94
110,2.73,11.88,2.71
120,1.46,11.51,3.05
130,0.12,10.58,3.45
140,-0.95,9.26,3.84
150,-1.86,7.58,3.63
160,-2.99,6.08,3.17
170,-4.04,5.29,3.29
180,-4.53,5.18,3.92
190,-3.62,5.2,4.35
200,-2.46,4.56,3.92
210,-0.9,3.11,2.12
220,0.91,1.63,0.34
230,2.09,0.65,-0.83
240,3.08,-0.14,-1.76
250,3.62,-0.36,-2.31
260,4.77,-0.45,-2.7
270,5.12,0.21,-2.15
280,5.04,1.53,-0.61
290,5.19,3.22,0.46
300,6.07,4.34,0.44
310,7.23,5.19,-0.01
320,8.77,5.94,-0.32
330,10.56,6.61,-0.57
340,12.17,6.83,-1.24
350,13.58,6.79,-2.13
360,14.27,7.21,-2.3
370,14.77,8.16,-2.5
380,14.83,9.64,-1.78
390,14.7,11.33,-0.7
400,14.54,12.79,0.29
410,14.67,13.66,0.6
420,14.79,13.8,0.12
430,14.49,13.4,-0.31
440,14.21,13.01,-0.51
450,13.3,12.79,0.12
460,12.16,13.22,1.3
470,11.05,13.61,2.5
480,9.85,13.71,3.34
490,8.99,13.83,4.74
500,7.81,14.12,6.35
510,6.14,14.33,7.5
520,4.56,14.4,7.83
530,3.87,13.97,7.61
540,3.74,13.23,6.74
550,3.67,12.5,6.7
560,3.23,12.46,5.29
570,4.01,11.6,5.64
580,3.77,10.72,6.21
590,2.92,10.02,5.64
600,1.67,9.86,5.95
610,0.83,9.85,7.7
620,0.5,9.34,7.47
630,-0.53,8.38,5.85
640,-0.22,7.48,5.46
650,-0.43,7.94,4.13
660,0.2,6.95,3.65
670,1.04,6.62,3.53
680,1.42,7.02,2.63
690,2.04,6.88,2.63
700,1.66,6.15,1.95
710,0.68,6.27,1.52
720,0.68,6.78,2.4
730,0.64,7.53,3.1
740,0.68,7.14,2.25
750,1.21,6.73,1.08
760,1.98,6.97,0.91
770,2.38,6.84,0.59
780,2.56,6.77,-0.01
790,3.54,7.02,-0.24
800,3.9,7.06,-0.41
810,5.0,7.03,-1.04
820,6.09,7.35,-1.19
830,7.05,7.48,-1.8
840,7.89,7.28,-2.52
850,8.35,7.37,-2.93
860,8.75,7.24,-3.24
870,8.31,7.41,-3.29
880,8.0,7.73,-2.79
890,7.51,7.72,-2.22
900,6.78,7.93,-1.99
910,6.39,8.03,-1.92
920,6.1,8.14,-1.79
930,6.17,8.19,-1.84
940,6.02,8.12,-2.01
950,6.01,8.09,-2.05
960,5.67,8.12,-1.68
970,5.62,8.2,-1.26
980,5.46,8.12,-1.31
990,5.15,7.92,-1.61
1000,5.05,7.8,-1.67
