timestamp,x,y,z
0,4.66,8.63,1.48
10,4.71,8.69,1.51
20,4.87,8.77,1.55
30,5.03,8.75,1.36
40,5.15,8.76,1.12
50,5.43,8.8,1.11
60,6.41,8.85,0.83
70,8.29,8.94,-0.16
80,10.37,9.01,-1.31
90,12.19,9.2,-2.06
100,12.4,9.37,-1.89
110,11.92,9.4,-1.67
120,11.23,9.36,-1.17
130,10.96,9.23,-0.79
140,10.23,8.8,-0.81
150,9.1,8.2,-0.06
160,8.09,7.76,1.13
170,6.63,7.67,3.57
180,4.0,7.4,6.13
190,-0.11,6.99,7.77
200,-4.63,6.67,8.96
210,-9.65,6.51,10.65
220,-13.75,6.47,12.32
230,-16.42,6.32,12.72
240,-17.6,5.67,11.39
250,-17.61,4.75,9.16
260,-16.55,3.82,7.13
270,-14.84,3.04,5.32
280,-13.35,2.41,4.26
290,-11.68,1.8,3.5
300,-9.44,1.26,2.76
310,-6.69,0.85,2.28
320,-3.95,0.46,1.72
330,-1.51,-0.1,0.65
340,0.89,-0.7,-0.89
350,3.51,-1.02,-2.5
360,6.02,-0.66,-3.36
370,8.26,-0.23,-3.36
380,9.73,0.4,-3.24
390,10.79,0.79,-2.66
400,12.39,1.17,-1.44
410,14.11,1.76,0.24
420,16.35,2.28,1.18
430,18.63,2.96,1.21
440,20.25,3.69,0.92
450,20.94,4.39,0.6
460,21.39,4.71,0.1
470,21.02,4.93,-0.27
480,20.0,5.12,-0.06
490,19.06,5.28,0.29
500,18.26,5.69,0.51
510,17.31,6.05,0.74
520,16.45,6.64,1.39
530,15.67,7.28,2.78
540,14.87,7.82,4.51
550,13.92,8.69,6.31
560,13.3,9.3,7.87
570,12.27,10.05,8.86
580,10.74,10.48,9.32
590,9.18,10.82,10.41
600,8.24,11.37,12.2
610,7.42,11.66,13.32
620,5.71,11.73,15.1
630,4.0,11.86,16.39
640,2.54,11.55,16.89
650,-0.29,12.05,17.4
660,-1.42,11.56,17.66
670,-2.07,10.86,17.05
680,-2.68,9.3,15.0
690,-3.68,7.93,12.53
700,-4.7,7.38,11.02
710,-5.84,7.06,10.93
720,-5.09,5.64,10.8
730,-5.16,5.33,8.89
740,-4.21,4.09,6.73
750,-3.81,4.18,5.69
760,-2.81,4.19,5.0
770,-1.78,3.4,3.66
780,-1.38,3.44,2.96
790,-0.74,3.47,2.87
800,0.68,3.31,1.27
810,1.28,2.7,-0.05
820,1.47,3.04,-1.16
830,1.83,3.36,-1.74
840,2.21,3.7,-1.54
850,1.58,4.05,-1.21
860,2.11,4.08,-1.7
870,2.17,4.72,-1.58
880,2.6,5.19,-1.31
890,3.03,6.1,-0.79
900,3.61,6.34,-0.41
910,4.41,6.5,-0.92
920,5.32,6.91,-1.33
930,6.23,7.06,-1.23
940,7.09,7.04,-1.41
950,7.69,7.36,-1.4
960,7.67,7.91,-0.24
970,7.71,7.97,-0.17
980,7.46,8.15,0.22
990,7.65,8.32,0.51
1000,7.93,8.54,0.2
